ID;EAN;Código Interno;Código IMendes;Status;Descrição;NCM;CEST;% IPI;CST IPI;CST Pis/Cofins Ent.;CST Pis/Cofins Sai.;Nat. Rec. Isenta Pis/Cofins;Lista;Tipo;% PIS;% COFINS;CFOP Compra;CFOP Venda;CST;CSOSN;Mod. BC.;% ICMS;% ICMS PDV;Simb. PDV;% Red. BC ICMS;% Red. BC ICMS ST;Mod. BC ST;% ICMS ST;IVA;Pauta ST;% FCP;Antecipado;% Desoneração;% Diferimento;Cód. ANP;Cód.Benefício;Data Alteração;Data Revisão;Data Último Consumo;Valor Venda
2911;3000002485741;3000002485741;;F;****CHOURICO STO ANTONIO PTO KG;16010000;17.076.00;0;;50;01;;;;1,65;7,6;1403;5405;060;;3;18;0;F;0;0;4;18;37,62;0;0;N;0;33,33;;;10/11/2020;10/11/2020;10/11/2020;
11949;7896283000010;7896283000010;;F;AAUCAR MASCAVO INT JASMINE 1 KG;17011400;17.103.00;0;;73;06;124;;;0;0;1102;5102;040;;3;0;0;I;0;0;;0;0;0;0;N;0;0;;PR810021;10/11/2020;10/11/2020;10/11/2020;
10247;7896040902014;7896040902014;;F;ABACAXI CALDA NEUMANN 400G;20082010;17.095.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
15189;7898418140288;7898418140288;;F;ABACAXI CALDA RODELA DIVINA MESA 400G;20082010;17.095.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
12491;7896434920174;7896434920174;;F;ABACAXI CALDA TRIANGULO 400 G;20082010;17.095.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
17181;17896434920171;17896434920171;;F;ABACAXI CALDA TRIANGULO 400 G;20082010;17.095.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
13045;7896807496114;7896807496114;;F;ABACAXI EM CALDA  CANTU 400 G;20082010;17.095.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
15864;7898935234149;7898935234149;;F;ABACAXI EM CALDA MAESTRIA ABACAXI 820 G;20082010;17.095.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
15858;7898933880010;7898933880010;;F;ABACAXI EM CALDA OBBA 830 G;20082010;17.095.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
13046;7896807496121;7896807496121;;F;ABACAXI EM CALDAS  CANTU 400 G;20082010;17.095.00;0;;50;01;;;;1,65;7,6;1102;5102;000;;3;18;18;T;0;0;;0;0;0;0;N;0;0;;;10/11/2020;10/11/2020;10/11/2020;
